fname,absrel,delta
0,0.052336704,95.33714177243763
1,0.03689943,98.42864954917147
2,0.07467958,94.01617444468553
3,0.02718847,98.40882035733182
4,0.028566362,99.08052701190356
5,0.027744232,98.8641393661567
6,0.057389602,96.18877641489796
7,0.036978338,99.26423829267672
8,0.07074037,94.54581018299527
9,0.032037828,99.59484720932895
10,0.040797178,98.69722250483264
11,0.055681888,95.84954769407302
12,0.08055313,95.45123439024204
13,0.02928687,98.63492621670451
14,0.026543997,99.32654094240918
15,0.021575483,99.07173027999536
16,0.01665973,99.68333784799454
17,0.036538646,98.15116052446203
18,0.013775201,99.51227763166595
19,0.05828631,95.05961892741911
20,0.035606693,96.73532564006608
21,0.02304413,98.6871436982516
22,0.032603886,99.30565715136241
23,0.045379702,96.74652804736952
24,0.03404815,97.35264233457829
25,0.04603891,96.39833581434407
26,0.035624605,98.4896426827283
27,0.028184587,99.53491921176628
28,0.048563633,96.60898442060476
29,0.036104564,96.83642888656931
30,0.040178526,98.78290927477644
31,0.050285503,95.96153738472134
32,0.034347355,98.11820223687178
33,0.041274067,99.1371916288471
34,0.043302823,98.0987442054746
35,0.053038377,97.53831261700174
36,0.05496602,98.98406887426673
37,0.042134274,97.55189527634657
38,0.06412446,97.3459796383132
39,0.040933546,98.49430196878302
40,0.07235862,95.97638675584818
41,0.04651292,98.01582508628243
42,0.03944939,97.88428148819494
43,0.08379337,88.80307397225896
44,0.04527995,97.17702138104906
45,0.041898295,98.13612856643526
46,0.08947235,95.63191449345638
47,0.08161466,95.92274978761668
48,0.07502021,87.52817639583313
49,0.0599461,95.98697249650002
50,0.038101662,97.90183808653741
51,0.08229666,95.03801699854485
52,0.03828855,97.74066435181356
53,0.05883495,96.37356918547846
54,0.040874433,97.74320997079762
55,0.07725545,89.75033758017929
56,0.038091205,97.78483106045186
57,0.054128733,97.15291641419779
58,0.04301497,98.16879497398075
59,0.0466671,98.04863465489495
60,0.06512711,95.5724930118013
61,0.05217627,97.97224953004068
62,0.042426705,98.32922807588959
63,0.0507289,97.44902486897328
64,0.039990667,98.6084035936774
65,0.04550929,97.20904077167263
66,0.039323404,98.62491873927651
67,0.03994552,98.67531641544235
68,0.04443163,96.99461992590945
69,0.033801127,99.14969231199741
70,0.051662985,96.44762277395337
71,0.030634368,98.5129198331657
72,0.040100295,98.80330769416676
73,0.09188359,92.9218885883165
74,0.06513715,95.8051755825317
75,0.038526386,97.63566675444187
76,0.02183068,98.87358259991582
77,0.033994395,98.37451351220642
78,0.01013471,99.50748440536883
79,0.030912109,99.02693668219752
80,0.02820492,99.52736391197647
81,0.03352986,99.51593989820239
82,0.021022385,99.92930094401041
83,0.03585289,99.14207449950104
84,0.022681057,99.82363069004016
85,0.03311723,98.67452500120534
86,0.023845201,99.78544331216905
87,0.04194638,97.41322251137659
88,0.029736558,99.08369007294114
89,0.07387572,89.33577676578079
90,0.05520721,93.43750241310877
91,0.06741779,94.49503701649448
92,0.07055308,91.31614135138615
93,0.08038911,88.2847766602816
94,0.06363644,93.69251370251851
95,0.08103477,93.18544249651724
96,0.057443798,93.57107642161783
97,0.060850147,96.23366040288751
98,0.02788765,99.54015000808207
99,0.014768847,99.20855231451398
100,0.059759587,96.17623346362289
101,0.06927601,96.54250695410292
102,0.058295716,96.13008537773769
103,0.11774046,90.05059837413273
104,0.049957898,97.0223264823205
105,0.04269414,97.4404512629848
106,0.031302467,97.91761765025541
107,0.03354078,97.92697917012724
108,0.020301094,98.83263413980039
109,0.032643076,97.78072014980586
110,0.026264725,98.30783424701873
111,0.08075372,94.65546089470848
112,0.042531416,97.0188465789078
113,0.032243483,98.49525921302418
114,0.03818104,98.82212577547539
115,0.03055069,99.93360940965792
116,0.032933056,99.56054109570735
117,0.024803972,98.57098161709531
118,0.03387331,98.8785234506736
119,0.22334771,55.449041757537046
120,0.05616252,98.90640478028273
121,0.048564885,97.18680256623833
122,0.034494046,99.56699582801691
123,0.033149917,97.62194676940452
124,0.07505537,92.28950885612723
125,0.052038986,96.04267588644704
126,0.084272824,95.7883081753073
127,0.07777568,94.54579873000584
128,0.08193695,89.10318642825607
129,0.07758704,95.36160118454457
130,0.03350186,97.34806559383846
131,0.030229146,98.1620209726467
132,0.07728265,94.85173495093373
133,0.021718832,99.52579967996252
134,0.043045506,96.96356223592583
135,0.10903045,92.43591715005279
136,0.027492343,99.05318994517262
137,0.03913741,97.55229331052234
138,0.029171236,99.76171150425816
139,0.07596152,95.0199366852982
140,0.024529055,99.08507783077123
141,0.07666958,94.88372987632475
142,0.049714014,96.83049810116697
143,0.051009912,96.60382412592318
144,0.050840363,96.20951627594185
145,0.051369105,97.32784494016481
146,0.05386507,96.37610236215436
147,0.07113696,95.19514258722891
148,0.044538703,97.89857817706682
149,0.080256894,90.79826077981059
150,0.07463921,95.75145919144201
151,0.11250309,78.45983556381138
152,0.09879752,84.27473893520485
153,0.12568049,86.0408478554042
154,0.1762982,86.25038361707993
155,0.054053675,97.07589454415493
156,0.058370143,97.72872856618639
157,0.05548143,97.36972558125198
158,0.051698107,96.46564520984502
159,0.08747942,90.68369780755455
160,0.04496881,97.25923228652931
161,0.11052645,88.5319541909525
162,0.05290763,98.62216959053858
163,0.13762803,87.25684426573908
164,0.034892976,98.2849366530581
165,0.031140378,99.246565978819
166,0.09222119,93.59915250992354
167,0.021866208,99.16329755159262
168,0.1289726,97.87079615539157
169,0.04941453,98.82875148647703
170,0.028777579,99.48725841616147
171,0.074230164,98.314562596532
172,0.036713485,99.17251197101075
173,0.06566257,97.67600325312998
174,0.09343905,93.12450547487174
175,0.06882807,97.10352676402138
176,0.103586204,90.48633680121536
177,0.07081484,94.62837951562327
178,0.07022356,96.89878160901779
